timestamp,temp_celsius,temp_fahrenheit,wind_speed_mph,pressure,humidity(%),Month_sin,Month_cos,Hour_sin,Hour_cos
2024-09-26 20:00:00,25.85016,78.53729,0.44690847,29.802063,99.86633,1.0665361,-0.24554297,-0.11327103,0.89360756
2024-09-26 21:00:00,26.199497,79.16652,0.6107527,29.799042,98.47393,1.0619888,-0.20373085,0.19235381,0.90218896
2024-09-26 22:00:00,26.449972,79.6176,0.87583256,29.782711,97.2677,1.053853,-0.16477278,0.4634066,0.82504475
2024-09-26 23:00:00,26.45158,79.6206,1.0503082,29.759941,96.77992,1.0461946,-0.13490233,0.6809827,0.68387884
2024-09-27 00:00:00,26.366333,79.46716,1.095219,29.740484,96.44394,1.0370531,-0.11463097,0.84402865,0.4938656
2024-09-27 01:00:00,26.278166,79.30825,1.1102954,29.730015,96.05922,1.0255045,-0.09295967,0.9475016,0.27228796
2024-09-27 02:00:00,26.344406,79.426994,1.1764009,29.728996,95.35504,1.0196376,-0.062389433,0.9878186,0.04637706
2024-09-27 03:00:00,26.363905,79.46139,1.2414788,29.735199,95.02704,1.018126,-0.038363934,0.9721744,-0.16615129
2024-09-27 04:00:00,26.489872,79.68744,1.2805028,29.746527,94.389885,1.0203927,-0.014259398,0.91288847,-0.3567574
2024-09-27 05:00:00,26.847462,80.330536,1.4323059,29.760506,92.660965,1.0200284,0.0029124767,0.8164334,-0.53483814
2024-09-27 06:00:00,27.637732,81.75227,2.1358674,29.774584,89.24275,1.0180122,0.01015614,0.6780238,-0.7033109
2024-09-27 07:00:00,28.595863,83.47613,3.2021058,29.782572,85.05612,1.0174254,0.008782938,0.49061558,-0.84637195
2024-09-27 08:00:00,29.276373,84.70068,3.7820024,29.780817,82.09138,1.0161898,0.004246831,0.2642388,-0.9427808
2024-09-27 09:00:00,29.470648,85.05047,3.8635998,29.766808,80.86024,1.0084028,-0.0021518618,0.013618248,-0.9882654
2024-09-27 10:00:00,29.358288,84.848045,4.0036697,29.747715,81.318535,1.0068527,0.002734419,-0.22671676,-0.96978444
2024-09-27 11:00:00,29.02052,84.24017,4.0562577,29.726728,82.24941,1.0067958,0.011689149,-0.4498602,-0.8981967
2024-09-27 12:00:00,28.527765,83.35348,4.0261235,29.70665,83.71747,1.0074602,0.024292916,-0.64595485,-0.7768888
2024-09-27 13:00:00,27.897495,82.21948,3.7033541,29.690216,85.85537,1.0103738,0.037640043,-0.80481523,-0.6106659
2024-09-27 14:00:00,27.197948,80.961044,3.1194587,29.677372,88.36701,1.0141848,0.044920333,-0.91701883,-0.4111663
2024-09-27 15:00:00,26.5053,79.71548,2.3192282,29.669342,90.46624,1.0163465,0.043129995,-0.9792968,-0.19416082
2024-09-27 16:00:00,25.83339,78.50711,1.6713412,29.667936,92.44245,1.0152833,0.029581375,-0.9896245,0.028871443
2024-09-27 17:00:00,25.284477,77.51972,1.348032,29.673948,94.34723,1.0206144,0.011232734,-0.9468119,0.24937022
2024-09-27 18:00:00,24.81867,76.68177,1.3917403,29.6824,95.55358,1.0258352,-0.013285369,-0.8613738,0.4522028
2024-09-27 19:00:00,24.495682,76.10094,1.3980297,29.69449,96.299126,1.0299227,-0.04135558,-0.7327696,0.6320123
2024-09-27 20:00:00,24.367605,75.8707,1.3278465,29.708355,97.170395,1.0401914,-0.06053695,-0.5538475,0.78444886
2024-09-27 21:00:00,24.307789,75.76343,1.1534426,29.719894,97.74708,1.0456767,-0.07280746,-0.32800928,0.8992405
2024-09-27 22:00:00,24.339169,75.820435,0.9532032,29.725163,97.77214,1.0435607,-0.067723125,-0.054812595,0.96034056
2024-09-27 23:00:00,24.496864,76.10476,0.8649695,29.720232,97.122574,1.0334432,-0.03798303,0.2465259,0.9430446
2024-09-28 00:00:00,24.770542,76.5975,1.033732,29.705444,96.04216,1.025115,0.009931773,0.5281251,0.83599335
2024-09-28 01:00:00,24.902622,76.835144,1.1369076,29.689816,95.39342,1.0145663,0.048005253,0.7444939,0.6649556
2024-09-28 02:00:00,24.924358,76.87396,1.2389092,29.67856,94.95931,1.0097114,0.080017,0.89332765,0.45549554
2024-09-28 03:00:00,24.969803,76.9553,1.3352017,29.6743,94.3913,1.0042198,0.112344235,0.9786936,0.23283437
2024-09-28 04:00:00,24.996542,77.00276,1.4069303,29.675123,94.14597,1.0014808,0.1420382,1.0062221,0.011471
2024-09-28 05:00:00,24.838793,76.71835,1.3010496,29.678356,94.14159,1.0076804,0.15496884,0.9809507,-0.20437741
2024-09-28 06:00:00,24.791676,76.633224,1.2030509,29.683731,93.49655,1.0161977,0.15494679,0.90836406,-0.41514567
2024-09-28 07:00:00,25.626831,78.1357,1.7973361,29.69469,90.28662,1.0264366,0.15263277,0.79481834,-0.6207509
2024-09-28 08:00:00,27.03429,80.66793,3.3633122,29.704777,84.789665,1.0333608,0.14693703,0.6371608,-0.80094457
2024-09-28 09:00:00,28.344366,83.02497,4.98453,29.708254,79.5414,1.0301752,0.14738308,0.44123518,-0.92758054
2024-09-28 10:00:00,29.513552,85.12917,5.538938,29.706562,75.587395,1.0280602,0.15230906,0.2184562,-0.9996549
2024-09-28 11:00:00,30.250946,86.456894,5.405694,29.694462,72.988304,1.0223058,0.14677934,-0.028973056,-1.0242925
2024-09-28 12:00:00,30.61897,87.119354,5.4713225,29.676033,72.22671,1.0223386,0.14957668,-0.27091432,-0.9869951
2024-09-28 13:00:00,30.708307,87.280235,5.6621256,29.652765,72.199715,1.0226364,0.1556697,-0.4940084,-0.89681137
2024-09-28 14:00:00,30.483065,86.8749,5.8415685,29.631077,73.155205,1.0213042,0.16273005,-0.688418,-0.760006
2024-09-28 15:00:00,29.94203,85.90116,5.921253,29.614431,75.16899,1.0173291,0.16650268,-0.8467052,-0.5825629
2024-09-28 16:00:00,29.206244,84.57723,5.5977926,29.605322,77.78282,1.0129791,0.16631192,-0.9610053,-0.37127167
2024-09-28 17:00:00,28.30893,82.96288,4.840349,29.603851,81.01949,1.0142075,0.16110697,-1.0211992,-0.13448727
2024-09-28 18:00:00,27.340012,81.21984,3.7081172,29.60907,84.7738,1.0225803,0.15429932,-1.0170739,0.10998416
2024-09-28 19:00:00,26.373482,79.48153,2.55615,29.613085,87.765724,1.0293761,0.13586974,-0.95479995,0.34198195
2024-09-28 20:00:00,25.589008,78.07091,1.7623934,29.617128,89.66468,1.0305538,0.104000896,-0.84144294,0.5531852
2024-09-28 21:00:00,25.199526,77.37061,1.378298,29.628893,91.01,1.0362649,0.08281848,-0.66684175,0.74421424
2024-09-28 22:00:00,24.930553,76.88707,1.0640492,29.643044,92.07269,1.0382528,0.08026025,-0.42203888,0.89926654
2024-09-28 23:00:00,24.74724,76.557365,0.9136298,29.652943,93.103386,1.0359193,0.10168892,-0.10502294,0.9847478
2024-09-29 00:00:00,24.764727,76.58872,0.9960983,29.652987,93.55848,1.0306683,0.14578909,0.2322158,0.9639134
2024-09-29 01:00:00,24.874311,76.78594,1.068236,29.643692,93.182495,1.0208408,0.19066843,0.52610403,0.8447178
2024-09-29 02:00:00,24.87087,76.77942,1.1495863,29.633184,93.12064,1.001714,0.23320985,0.74845135,0.66183466
2024-09-29 03:00:00,24.87524,76.78686,1.2608321,29.624466,92.87928,0.9871373,0.2632824,0.8954383,0.45038813
2024-09-29 04:00:00,24.945244,76.91202,1.6009728,29.621408,92.545425,0.9753976,0.29867268,0.9789232,0.22982278
